shape,changeType,blockNum,trialID,response,confidence,rt,subjectID,experimentName,experimentVersion,experimentTime,studyID,sessionID,browserName,browserVersion,displayWindowHeight,displayWindowWidth,displayScreenHeight,displayScreenWidth,change_key,gender,age,taskGuess,purposeGuess,commentText,totalTime,collapsedChange,correctAnswer,fullShapeName,responded_correctly,count,analysisChangeType
shape1,no_change2,1,10,same,8,2645.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape1_no_change2,1,1,none
shape3,concave_area2,1,11,same,8,3551.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,concave_area2,different,shape3_concave_area2,0,1,concave
shape2,no_change6,1,12,different,7,6142.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape2_no_change6,0,1,none
shape5,no_change5,1,13,different,7,3935.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape5_no_change5,0,1,none
shape4,no_change6,1,14,same,8,1830.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape4_no_change6,1,1,none
catch_shape,no_change3,1,15,same,9,2135.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,catch_shape_no_change3,1,1,none
shape6,no_change6,1,16,same,7,4655.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape6_no_change6,1,1,none
shape8,no_change1,1,17,same,8,2278.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape8_no_change1,1,1,none
shape1,no_change3,2,18,same,8,3334.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape1_no_change3,1,1,none
shape2,no_change4,2,19,different,8,2478.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape2_no_change4,0,1,none
shape3,no_change4,2,20,different,5,2022.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape3_no_change4,0,1,none
shape7,no_change2,2,21,different,6,2118.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape7_no_change2,0,1,none
shape4,no_change2,2,22,same,6,2998.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape4_no_change2,1,1,none
shape6,no_change3,2,23,different,5,3463.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape6_no_change3,0,1,none
shape5,no_change2,2,24,different,5,2272.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape5_no_change2,0,1,none
catch_shape,no_change2,2,25,same,8,4007.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,catch_shape_no_change2,1,1,none
shape8,no_change2,2,26,different,5,1366.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape8_no_change2,0,1,none
shape2,no_change3,3,27,different,4,2710.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape2_no_change3,0,1,none
shape4,no_change3,3,28,same,8,1526.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape4_no_change3,1,1,none
shape7,no_change4,3,29,different,9,2214.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape7_no_change4,0,1,none
shape5,concave_nofill_area1,3,30,different,8,1615.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,concave_nofill_area1,different,shape5_concave_nofill_area1,1,1,concave_nofill
shape6,no_change2,3,31,same,8,1871.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape6_no_change2,1,1,none
shape8,concave_area1,3,32,different,8,3814.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,concave_area1,different,shape8_concave_area1,1,1,concave
catch_shape,change1,3,33,different,9,1790.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,change1,different,catch_shape_change1,1,1,none
shape1,no_change4,3,34,same,8,3286.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape1_no_change4,1,1,none
shape3,no_change1,3,35,same,9,4422.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape3_no_change1,1,1,none
catch_shape,change4,4,36,different,9,1917.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,change4,different,catch_shape_change4,1,1,none
shape6,concave_area1,4,37,same,8,3647.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,concave_area1,different,shape6_concave_area1,0,1,concave
shape2,no_change1,4,38,different,7,1542.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape2_no_change1,0,1,none
shape1,concave_area2,4,39,same,8,2366.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,concave_area2,different,shape1_concave_area2,0,1,concave
shape5,no_change1,4,40,same,9,1717.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape5_no_change1,1,1,none
shape3,convex_area1,4,41,same,8,2757.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,convex_area1,different,shape3_convex_area1,0,1,convex
shape4,no_change1,4,42,same,9,1438.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape4_no_change1,1,1,none
shape7,no_change6,4,43,same,7,2447.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape7_no_change6,1,1,none
shape8,no_change5,4,44,same,9,1455.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape8_no_change5,1,1,none
shape2,no_change5,5,45,different,8,1223.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape2_no_change5,0,1,none
shape1,concave_area1,5,46,same,8,1910.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,concave_area1,different,shape1_concave_area1,0,1,concave
shape3,no_change3,5,47,same,9,1958.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape3_no_change3,1,1,none
shape5,convex_area1,5,48,different,3,2494.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,convex_area1,different,shape5_convex_area1,1,1,convex
shape4,no_change5,5,49,same,9,1141.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape4_no_change5,1,1,none
catch_shape,no_change1,5,50,same,9,1287.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,catch_shape_no_change1,1,1,none
shape6,concave_nofill_area1,5,51,different,4,1829.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,concave_nofill_area1,different,shape6_concave_nofill_area1,1,1,concave_nofill
shape8,no_change4,5,52,same,9,1335.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape8_no_change4,1,1,none
shape7,no_change5,5,53,different,6,1293.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape7_no_change5,0,1,none
shape3,no_change6,6,54,different,6,1222.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,no_change,same,shape3_no_change6,0,1,none
shape4,concave_nofill_area1,6,55,different,9,1893.0,55b6a2e5fdf99b350d57360e,ducktruck,v001,1037420.0,60e37abdc60a8398fd63c9e4,60ef12f12c286ba9fa30ee2f,Firefox,89,1347,2560,1440,2560,q, -- select an option -- ,,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ",Worked fine.,1060291.0,concave_nofill_area1,different,shape4_concave_nofill_area1,1,1,concave_nofill
